name,positive,negative
Minimalist,"minimalist design {prompt}, clean, simple, restrained, elegant","busy, complex, flamboyant, disfigured"
Art Deco,"art deco {prompt}, opulent, lavish, ornate, symmetrical, geometric","minimalistic, simple, asymmetrical, organic"
Cubist,"cubist {prompt}, abstract, geometric, fragmented, multiple perspectives","realistic, smooth, unbroken, single perspective"
Dada,"dada style {prompt}, absurd, satirical, avant-garde, abstract","serious, traditional, conventional, realistic"
Victorian,"Victorian style {prompt}, elegant, ornate, highly detailed, historical","modern, minimalist, low detail, contemporary"
Art Nouveau,"art nouveau {prompt}, organic, curvilinear, decorative, highly detailed","geometric, straight lines, functional, low detail"
Futuristic,"futuristic {prompt}, advanced, high-tech, sleek, modern","old, low-tech, chunky, historical"
Medieval,"medieval style {prompt}, historical, ornate, religious, gothic","modern, simple, secular, minimalist"
Industrial,"industrial style {prompt}, mechanical, robust, urban, gritty","natural, fragile, rural, clean"
Vaporwave,"vaporwave style {prompt}, retro, neon, pixelated, nostalgic","modern, monochrome, high-resolution, forward-looking"
Horror,"horror style {prompt}, dark, eerie, gothic, macabre","light, cheerful, minimalist, happy"
Gothic,"gothic style {prompt}, dark, mysterious, intricate, moody","light, cheerful, simple, vibrant"
Steampunk,"steampunk style {prompt}, retro, mechanical, detailed, Victorian","modern, digital, minimalist, contemporary"
Retro,"retro style {prompt}, vintage, nostalgic, old-fashioned, highly detailed","modern, futuristic, forward-looking, low detail"
Surrealist,"surrealist {prompt}, dream-like, bizarre, irrational, highly detailed","realistic, mundane, rational, low detail"
Realism,"realism style {prompt}, lifelike, detailed, accurate, representational","abstract, simplistic, inaccurate, non-representational"
Silhouette,"silhouette style {prompt}, minimalist, monochrome, stark, high contrast","detailed, multicolored, soft, low contrast"
Collage,"collage style {prompt}, mixed media, assembled, eclectic, highly detailed","uniform, unvarying, minimalist, low detail"
Watercolor,"watercolor {prompt}, soft, blended, transparent, fluid","hard, unblended, opaque, rigid"
Calligraphy,"calligraphy {prompt}, elegant, flowing, ornate, highly detailed","plain, rigid, simple, low detail"
Expressionist,"expressionist style {prompt}, emotional, intense, vibrant, highly detailed","emotionless, calm, muted, low detail"
Fauvist,"fauvist style {prompt}, bold color, exaggerated, expressive, highly detailed","neutral color, realistic, restrained, low detail"
Renaissance,"Renaissance style {prompt}, classical, humanistic, realistic, highly detailed","modern, abstract, unrealistic, low detail"
Photorealistic,"photorealistic {prompt}, highly detailed, lifelike, precise, accurate","abstract, low detail, unrealistic, inaccurate"
Symbolic,"symbolic style {prompt}, conceptual, representative, allegorical, highly detailed","literal, non-representative, factual, low detail"
Avant-garde,"avant-garde style {prompt}, experimental, innovative, non-traditional","traditional, conventional, classic"
Mosaic,"mosaic style {prompt}, fragmented, assembled, colorful, highly detailed","whole, unbroken, monochrome, low detail"
Trompe l'oeil,"trompe l'oeil style {prompt}, deceptive, 3D effect, realistic, highly detailed","honest, 2D effect, unrealistic, low detail"
Rococo,"rococo style {prompt}, ornate, playful, romantic, pastel, highly detailed","minimalistic, serious, unromantic, dark, low detail"
Macabre,"macabre style {prompt}, dark, eerie, grotesque, highly detailed","light, cheerful, beautiful, low detail"
Satirical,"satirical style {prompt}, humorous, ironic, exaggerated, critical","serious, literal, realistic, complimentary"
Pixelated,"pixelated style {prompt}, retro, low-res, digital, blocky","modern, high-res, organic, smooth"
Futurist,"futurist style {prompt}, dynamic, modern, mechanized, highly detailed","static, historical, organic, low detail"
Primitive,"primitive style {prompt}, raw, simple, naive, highly detailed","refined, complex, sophisticated, low detail"
Byzantine,"Byzantine style {prompt}, rich, ornate, religious, iconic, highly detailed","poor, simple, secular, non-iconic, low detail"
Psychedelic,"psychedelic style {prompt}, vibrant, abstract, distorted, highly detailed","muted, realistic, undistorted, low detail"
Suprematist,"suprematist style {prompt}, geometric, abstract, non-objective, simple","organic, realistic, objective, complex"
Constructivist,"constructivist style {prompt}, industrial, geometric, political, highly detailed","organic, curvilinear, apolitical, low detail"
De Stijl,"de Stijl style {prompt}, abstract, geometric, primary colors,"organic, curvilinear, muted colors, black and white"
Ukiyo-e,"ukiyo-e style {prompt}, woodblock print, vibrant, historical Japanese art, detailed","digital, muted, modern, Western"
Dystopian,"dystopian style {prompt}, bleak, oppressive, futuristic, detailed","utopian, cheerful, historical, low detail"
Biomechanical,"biomechanical style {prompt}, organic meets mechanical, alien, detailed, H,R, Giger-inspired","geometric, earthy, low detail, not H,R, Giger-inspired"
Hyperrealism,"hyperrealistic style {prompt}, ultra-detailed, lifelike, precision, crisp","abstract, low detail, unrealistic, blurry"
Glitch,"glitch style {prompt}, digital error, distorted, cyber, detailed","analog, undistorted, organic, low detail"
Trompe-l'oeil,"trompe-l'oeil style {prompt}, optical illusion, lifelike, 3D effect, detailed","flat, 2D effect, unrealistic, low detail"
Arabesque,"arabesque style {prompt}, geometric patterns, floral, Islamic art, detailed","chaotic, animalistic, non-Islamic art, low detail"
Brutalist,"brutalist style {prompt}, raw, rugged, geometric, concrete, detailed","smooth, delicate, curvilinear, abstract, low detail"
Chiaroscuro,"chiaroscuro style {prompt}, high contrast, dramatic lighting, detailed","low contrast, flat lighting, low detail"
Tenebrism,"tenebrism style {prompt}, dark, dramatic illumination, high contrast, detailed","light, flat lighting, low contrast, low detail"
Romantic,"romantic style {prompt}, emotional, dramatic, nature-focused, detailed","unemotional, flat, city-focused, low detail"
Bauhaus,"bauhaus style {prompt}, functional, geometric, minimal, detailed","ornamental, curvilinear, maximal, low detail"
Art brut,"art brut style {prompt}, raw, outsider art, naive, detailed","refined, mainstream art, sophisticated, low detail"
Metaphysical,"metaphysical style {prompt}, surreal, eerie, uncanny, detailed","realistic, comfortable, familiar, low detail"
Neoplasticism,"neoplasticism style {prompt}, geometric, primary colors, black and white, abstract","organic, muted colors, colorful, realistic"
Hard-edge,"hard-edge style {prompt}, geometric, flat colors, precision, detailed","organic, gradient colors, imprecise, low detail"
Automatism,"automatism style {prompt}, unconscious, spontaneous, abstract, detailed","conscious, planned, realistic, low detail"
Tachisme,"tachisme style {prompt}, gestural, abstract, spontaneous, detailed","controlled, realistic, planned, low detail"
Lyrical abstraction,"lyrical abstraction style {prompt}, emotional, non-figurative, expressive, detailed","unemotional, figurative, restrained, low detail"
Color field,"color field style {prompt}, flat, large fields of color, minimal, detailed","textured, small patches of color, maximal, low detail"
Synthetism,"synthetism style {prompt}, simplified, symbolic, bright colors, detailed","complex, literal, muted colors, low detail"
Cloisonnism,"cloisonnism style {prompt}, bold outlines, flat colors, decorative, detailed","soft outlines, gradient colors, functional, low detail"
Assemblage,"assemblage style {prompt}, three-dimensional, found objects, eclectic, detailed","two-dimensional, traditional materials, uniform, low detail"
Vorticism,"vorticism style {prompt}, geometric, abstract, dynamic, detailed","organic, realistic, static, low detail"
Op art,"op art style {prompt}, optical illusions, geometric, black and white, detailed","no illusions, organic, colorful, low detail"
Divisionism,"divisionism style {prompt}, color theory, dot technique, vibrant, detailed","black and white, smooth technique, muted, low detail"
Kinetic art,"kinetic art style {prompt}, movement, dynamic, interactive, detailed","static, static, non-interactive, low detail"
Orphism,"orphism style {prompt}, pure color, abstract, musical, detailed","mixed color, realistic, non-musical, low detail"
Suprematism,"suprematism style {prompt}, geometric, abstract, limited color palette, detailed","organic, realistic, broad color palette, low detail"
Letterism,"letterism style {prompt}, letters, typographic, abstract, detailed","images, non-typographic, realistic, low detail"
Situationalist,"situationalist style {prompt}, political, collage, detournement, detailed","apolitical, single medium, straightforward, low detail"
Sound art,"sound art style {prompt}, auditory, abstract, non-visual, detailed","visual, realistic, silent, low detail"
Land art,"land art style {prompt}, natural materials, outdoor, environmental, detailed","synthetic materials, indoor, non-environmental, low detail"
Photorealistic graffiti,"photorealistic graffiti style {prompt}, urban, street art, lifelike, detailed","rural, gallery art, abstract, low detail"
Hypermodern,"hypermodern style {prompt}, postmodern, technology focused, sleek, detailed","premodern, nature focused, rustic, low detail"
Virtual realism,"virtual realism style {prompt}, digital, lifelike, immersive, detailed","analog, abstract, non-immersive, low detail"
Structural film,"structural film style {prompt}, experimental, non-narrative, texture, detailed","traditional, narrative, smooth, low detail"
Process art,"process art style {prompt}, creation focused, ephemeral, documentation, detailed","result focused, permanent, no documentation, low detail"
Light and space,"light and space style {prompt}, perceptual phenomena, immersive, minimal, detailed","solid objects, non-immersive, maximal, low detail"
Post-internet,"post-internet style {prompt}, digital culture, technology, online, detailed","pre-internet, nature, offline, low detail"
Bio-art,"bio-art style {prompt}, living organisms, ethical, natural, detailed","inorganic, unethical, synthetic, low detail"
Byzantine,"Byzantine style {prompt}, religious, iconography, gold, highly detailed, mosaics","secular, simple, bronze, minimalist, paintings"
Celtic,"Celtic style {prompt}, geometric patterns, intricate knots, medieval, highly detailed","random, simplistic, modern, undetailed"
Native American,"Native American style {prompt}, traditional patterns, tribal, cultural symbols, highly detailed","modern, non-tribal, abstract, undetailed"
Aboriginal,"Aboriginal style {prompt}, dot painting, Dreamtime stories, Australian culture, highly detailed","non-Australian, line drawing, abstract, undetailed"
Egyptian,"Egyptian style {prompt}, hieroglyphs, gods and goddesses, Pharaohs, highly detailed","non-Egyptian, text-free, secular, undetailed"
Mayan,"Mayan style {prompt}, glyphs, ancient civilization, detailed carvings, highly detailed","modern, non-Mayan, simplistic, undetailed"
Renaissance,"Renaissance style {prompt}, humanism, realism, perspective, highly detailed","abstract, surreal, flat, undetailed"
Mughal,"Mughal style {prompt}, Indian and Persian influence, miniature paintings, highly detailed","non-Indian, non-Persian, large-scale, undetailed"
Romanesque,"Romanesque style {prompt}, medieval, religious, thick walls, highly detailed","modern, secular, transparent, undetailed"
Gothic,"Gothic style {prompt}, medieval, pointed arches, stained glass, highly detailed","modern, round arches, clear glass, undetailed"
Baroque,"Baroque style {prompt}, grandeur, drama, chiaroscuro, highly detailed","minimalist, calm, flat, undetailed"
Rococo,"Rococo style {prompt}, ornate, pastel, love and nature themes, highly detailed","simple, dark, abstract, undetailed"
Pre-Raphaelite,"Pre-Raphaelite style {prompt}, romantic, vivid color, medieval subjects, highly detailed","realistic, muted color, modern subjects, undetailed"
Impressionist,"Impressionist style {prompt}, loose brushwork, light and color, ordinary subjects, highly detailed","tight brushwork, black and white, extraordinary subjects, undetailed"
Cubist,"Cubist style {prompt}, geometric, multi-perspective, fragmented, highly detailed","organic, single perspective, whole, undetailed"
Surrealist,"Surrealist style {prompt}, dreamlike, irrational, unexpected juxtapositions, highly detailed","realistic, rational, expected combinations, undetailed"
Futurist,"Futurist style {prompt}, dynamic, technology, speed, highly detailed","static, nature, slow, undetailed"
Dada,"Dada style {prompt}, absurd, anti-art, randomness, highly detailed","rational, pro-art, order, undetailed"
Expressionist,"Expressionist style {prompt}, emotional, distorted, individual perspective, highly detailed","unemotional, realistic, collective perspective, undetailed"
Fauvist,"Fauvist style {prompt}, bold color, wild brushwork, simplification, highly detailed","muted color, careful brushwork, detail, undetailed"
Socialist Realist,"Socialist Realist style {prompt}, idealized, political, proletarian, highly detailed","realistic, apolitical, bourgeois, undetailed"
Pop Art,"Pop Art style {prompt}, popular culture, advertising, bold, highly detailed","high art, non-commercial, muted, undetailed"
Suprematism,"Suprematism style {prompt}, geometric, non-objective, primary colors, highly detailed","organic, objective, pastel colors, undetailed"
Symbolist,"Symbolist style {prompt}, mythical, dreamy, spiritual, highly detailed","realistic, practical, secular, undetailed"
Pre-Columbian,"Pre-Columbian style {prompt}, ancient Americas, native, cultural, highly detailed","modern, non-American, abstract, undetailed"
Constructivist,"Constructivist style {prompt}, industrial, geometric, socialist, highly detailed","organic, round, capitalist, undetailed"
Art Nouveau,"Art Nouveau style {prompt}, decorative, nature-inspired, curved lines, highly detailed","functional, geometric, straight lines, undetailed"
Precisionist,"Precisionist style {prompt}, industrial, crisp, geometric, highly detailed","organic, blurry, round, undetailed"
Neoclassical,"Neoclassical style {prompt}, ancient Rome and Greece, rational, heroic, highly detailed","modern, emotional, ordinary, undetailed"
Persian Miniature,"Persian Miniature style {prompt}, Middle Eastern, intricate, storytelling, highly detailed","Western, simple, non-narrative, undetailed"
Edo,"Edo style {prompt}, Japanese, woodblock prints, floating world, highly detailed","non-Japanese, oil painting, real world, undetailed"
Tribal,"Tribal style {prompt}, African, indigenous, symbolic, highly detailed","non-African, mainstream, abstract, undetailed"
Tibetan Thangka,"Tibetan Thangka style {prompt}, spiritual, Buddhist, meditation, highly detailed","secular, non-Buddhist, disturbing, undetailed"
Art Deco,"Art Deco style {prompt}, modern, geometric, luxury, highly detailed","vintage, organic, minimalism, undetailed"
Minimalist,"Minimalist style {prompt}, simple, functional, unadorned, highly detailed","complex, decorative, adorned, undetailed"
Greek Classical,"Greek Classical style {prompt}, ancient, mythology, balanced, highly detailed","modern, everyday life, unbalanced, undetailed"
African,"African style {prompt}, tribal, symbolic, cultural, highly detailed","non-African, abstract, non-cultural, undetailed"
Russian Iconography,"Russian Iconography style {prompt}, religious, orthodox, gold, highly detailed","secular, non-orthodox, silver, undetailed"
Nordic,"Nordic style {prompt}, Scandinavian, minimal, nature, highly detailed","non-Scandinavian, maximal, urban, undetailed"
Inuit,"Inuit style {prompt}, Arctic, native, animal themes, highly detailed","tropical, non-native, human themes, undetailed"
Maori,"Maori style {prompt}, New Zealand, tribal, spiritual, highly detailed","non-New Zealand, non-tribal, secular, undetailed"
Iznik,"Iznik style {prompt}, Turkish, ceramic, floral, highly detailed","non-Turkish, canvas, geometric, undetailed"
Ottoman,"Ottoman style {prompt}, Islamic, calligraphy, miniatures, highly detailed","non-Islamic, typography, large-scale, undetailed"
Hanami,"Hanami style {prompt}, Japanese, cherry blossoms,spring, highly detailed","non-Japanese, winter, abstract, undetailed"
Mandala,"Mandala style {prompt}, spiritual, geometric, symmetrical, highly detailed","secular, organic, asymmetrical, undetailed"
Aztec,"Aztec style {prompt}, ancient Mexico, symbolic, cultural, highly detailed","modern, abstract, non-cultural, undetailed"
Sumi-e,"Sumi-e style {prompt}, Japanese ink painting, minimal, nature, highly detailed","non-Japanese, colorful, urban, undetailed"
Ukiyo-e,"Ukiyo-e style {prompt}, Japanese, woodblock prints, floating world, highly detailed","non-Japanese, digital art, real world, undetailed"
Haida,"Haida style {prompt}, Native American, form line, nature, highly detailed","non-Native American, abstract, urban, undetailed"
Moorish,"Moorish style {prompt}, Islamic, geometric, Andalusian, highly detailed","non-Islamic, organic, non-Andalusian, undetailed"
Victorian,"Victorian style {prompt}, 19th century, ornate, romantic, highly detailed","21st century, minimal, unemotional, undetailed"
Pueblo,"Pueblo style {prompt}, Native American, traditional, pottery, highly detailed","non-Native American, modern, photography, undetailed"
Cloisonne,"Cloisonne style {prompt}, metalwork, enamel, intricate, highly detailed","woodwork, paint, simple, undetailed"
Khokhloma,"Khokhloma style {prompt}, Russian, folk art, floral, highly detailed","non-Russian, fine art, geometric, undetailed"
Biedermeier,"Biedermeier style {prompt}, 19th century, domestic, unpretentious, highly detailed","21st century, public, pretentious, undetailed"
Goryeo,"Goryeo style {prompt}, Korean, celadon, inlay, highly detailed","non-Korean, terra cotta, relief, undetailed"
Han,"Han style {prompt}, Chinese, ancient, stone relief, highly detailed","non-Chinese, modern, oil painting, undetailed"
Hellenistic,"Hellenistic style {prompt}, ancient Greek, dynamic, emotional, highly detailed","modern, static, unemotional, undetailed"
Tang,"Tang style {prompt}, Chinese, ancient, sculpture, highly detailed","non-Chinese, modern, photography, undetailed"
Ming,"Ming style {prompt}, Chinese, elegant, pottery, highly detailed","non-Chinese, rustic, painting, undetailed"
Joseon,"Joseon style {prompt}, Korean, Confucian, painting, highly detailed","non-Korean, Taoist, sculpture, undetailed"
Gupta,"Gupta style {prompt}, Indian, ancient, sculpture, highly detailed","non-Indian, modern, painting, undetailed"
Pallava,"Pallava style {prompt}, Indian, Dravidian architecture, sculpture, highly detailed","non-Indian, Mughal architecture, painting, undetailed"
Chola,"Chola style {prompt}, Indian, bronze, dancing Shiva, highly detailed","non-Indian, marble, sitting Buddha, undetailed"
Minoan,"Minoan style {prompt}, ancient Crete, frescoes, sea life, highly detailed","modern, oil painting, land animals, undetailed"
Mycenaean,"Mycenaean style {prompt}, ancient Greece, gold, death mask, highly detailed","modern, bronze, life mask, undetailed"
Ndebele,"Ndebele style {prompt}, African, geometric, house painting, highly detailed","non-African, organic, canvas painting, undetailed"
San,"San style {prompt}, African, rock art, animal figures, highly detailed","non-African, digital art, human figures, undetailed"
Batik,"Batik style {prompt}, Indonesian, resist dyeing, floral, highly detailed","non-Indonesian, direct dyeing, geometric, undetailed"
Assyrian,"Assyrian style {prompt}, ancient Mesopotamia, relief, war scenes, highly detailed","modern, oil painting, peaceful scenes, undetailed"
Thracian,"Thracian style {prompt}, ancient Balkans, gold, ritual objects, highly detailed","modern, wood, everyday objects, undetailed"
Etruscan,"Etruscan style {prompt}, ancient Italy, bronze, mythological scenes, highly detailed","modern, steel, realistic scenes, undetailed"
Sumerian,"Sumerian style {prompt}, ancient Mesopotamia, cuneiform, clay tablets, highly detailed","modern, Latin script, parchment scrolls, undetailed"
Babylonian,"Babylonian style {prompt}, ancient Mesopotamia, law codes, stone steles, highly detailed","modern, lawless, paper books, undetailed"
Norse,"Norse style {prompt}, Viking, runic, wood carving, highly detailed","non-Viking, Latin script, metalwork, undetailed"
Olmec,"Olmec style {prompt}, ancient Mexico, colossal heads, basalt, highly detailed","modern, miniature hands, marble, undetailed"
Toltec,"Toltec style {prompt}, ancient Mexico, monumental architecture, relief, highly detailed","modern, small-scale models, oil painting, undetailed"
Sican,"Sican style {prompt}, ancient Peru, gold masks, funerary objects, highly detailed","modern, wood masks, everyday objects, undetailed"
Nazca,"Nazca style {prompt}, ancient Peru, geoglyphs, desert, highly detailed","modern, graffiti, urban, undetailed"
Inca,"Inca style {prompt}, ancient Peru, stonework, terraces, highly detailed","modern, woodwork, flat plains, undetailed"
Zapotec,"Zapotec style {prompt}, ancient Mexico, urns, jaguars, highly detailed","modern, vases, dogs, undetailed"
Mixtec,"Mixtec style {prompt}, ancient Mexico, codices, turquoise, highly detailed","modern, novels, gold, undetailed"
Ottonian,"Ottonian style {prompt}, medieval Germany, religious art, manuscripts, highly detailed","modern, secular art, newspapers, undetailed"
Merovingian,"Merovingian style {prompt}, medieval France, jewelry, garnet cloisonne, highly detailed","modern, clothing, sapphire pave, undetailed"
Carolingian,"Carolingian style {prompt}, medieval Europe, illuminatedmanuscripts, luxury, highly detailed","modern, paperback books, simplicity, undetailed"
Otomi,"Otomi style {prompt}, Mexican, textile, embroidery, highly detailed","non-Mexican, metalwork, hammering, undetailed"
Huichol,"Huichol style {prompt}, Mexican, yarn painting, spiritual, highly detailed","non-Mexican, oil painting, secular, undetailed"
Ainu,"Ainu style {prompt}, Japanese indigenous, wood carving, bear worship, highly detailed","non-Japanese, stone carving, dragon worship, undetailed"
Maori,"Maori style {prompt}, New Zealand, tattoo, spiritual, highly detailed","non-New Zealand, body paint, secular, undetailed"
Aboriginal,"Aboriginal style {prompt}, Australian indigenous, dot painting, storytelling, highly detailed","non-Australian, line drawing, non-narrative, undetailed"
Inuit,"Inuit style {prompt}, Arctic, stone carving, animal figures, highly detailed","tropical, wood carving, human figures, undetailed"
Saami,"Saami style {prompt}, Nordic indigenous, duodji (craft), reindeer, highly detailed","non-Nordic, factory-made, cow, undetailed"
Ojibwe,"Ojibwe style {prompt}, Native American, birch bark, canoes, highly detailed","non-Native American, pine bark, rafts, undetailed"
Tlingit,"Tlingit style {prompt}, Native American, totem poles, spiritual, highly detailed","non-Native American, street signs, secular, undetailed"
Navajo,"Navajo style {prompt}, Native American, textile, rug weaving, highly detailed","non-Native American, metalwork, jewelry making, undetailed"
Apache,"Apache style {prompt}, Native American, basketry, coiled, highly detailed","non-Native American, pottery, thrown, undetailed"
Zuni,"Zuni style {prompt}, Native American, jewelry, silver, highly detailed","non-Native American, clothing, cotton, undetailed"
Hopi,"Hopi style {prompt}, Native American, kachina dolls, spiritual, highly detailed","non-Native American, action figures, secular, undetailed"
Sioux,"Sioux style {prompt}, Native American, quillwork, porcupine, highly detailed","non-Native American, embroidery, silk, undetailed"
Lakota,"Lakota style {prompt}, Native American, beadwork, clothing, highly detailed","non-Native American, sequin work, banners, undetailed"
Yupik,"Yupik style {prompt}, Native American, mask, ceremonial, highly detailed","non-Native American, mask, recreational, undetailed"
Cherokee,"Cherokee style {prompt}, Native American, pottery, stamped, highly detailed","non-Native American, pottery, painted, undetailed"
Mohawk,"Mohawk style {prompt}, Native American, sweetgrass, basketry, highly detailed","non-Native American, bamboo, basketry, undetailed"
Cree,"Cree style {prompt}, Native American, hide, clothing, highly detailed","non-Native American, synthetic material, clothing, undetailed"
Acoma,"Acoma style {prompt}, Native American, pottery, sky city, highly detailed","non-Native American, pottery, earth city, undetailed"
Laguna,"Laguna style {prompt}, Native American, pottery, polychrome, highly detailed","non-Native American, pottery, monochrome, undetailed"
Seminole,"Seminole style {prompt}, Native American, patchwork, clothing, highly detailed","non-Native American, knitting, clothing, undetailed"
Osage,"Osage style {prompt}, Native American, ribbon work, floral, highly detailed","non-Native American, beadwork, geometric, undetailed"
Anasazi,"Anasazi style {prompt}, Native American, pottery, black-on-white, highly detailed","non-Native American, pottery, color-on-color, undetailed"
Mimbres,"Mimbres style {prompt}, Native American, pottery, figurative, highly detailed","non-Native American, pottery, abstract, undetailed"
Pomo,"Pomo style {prompt}, Native American, basketry, feathers, highly detailed","non-Native American, basketry, beads, undetailed"
Hohokam,"Hohokam style {prompt}, Native American, pottery, red-on-buff, highly detailed","non-Native American, pottery, blue-on-cream, undetailed"
Mississippian,"Mississippian style {prompt}, Native American, stone carving, ceremonial, highly detailed","non-Native American, wood carving, everyday, undetailed"
Fremont,"Fremont style {prompt}, Native American, petroglyphs, rock art, highly detailed","non-Native American, graffiti, wall art, undetailed"
